코드,역명,시간,환승,
610,응암,0,,
611,역촌,3,,
612,불광,2,322,
613,독바위,2,,
614,연신내,2,321,
615,구산,2,,
610,응암,2,,
616,새절,1,,
617,증산,2,,
618,수색,2,,
619,월드컵경기장,2,,
620,마포구청,1,,
621,망원,2,,
622,합정,2,238,
623,상수,2,,
624,광흥창,1,,
625,대흥,2,,
626,공덕,2,529,
627,효창공원,2,,
628,삼각지,2,428,
629,녹사평,2,,
630,이태원,2,,
631,한강진,2,,
632,버티고개,2,,
633,약수,1,333,
634,청구,2,537,
635,신당,2,206,
636,동묘앞,1,127,
637,창신,2,,
638,보문,2,,
639,안암,1,,
640,고려대,2,,
641,월곡,2,,
642,상월곡,2,,
643,돌곶이,2,,
644,석계,2,,
645,태릉입구,1,717,
646,화랑대,2,,
647,봉화산,2,,